job_title,company_name,description,payscale,location,job_type,company_type,date_posted,parent_source,active
['Clinical Nurse Specialist - Gynaecology - Part Time'],['GenesisCare logo'],[],Best In Industry,"['Portsmouth', 'England', 'United Kingdom']",['Part-time'],,Yesterday,['http://genesiscare.recruiterbox.com/jobs/fk03oyp?apply=true'],True
job_title,company_name,description,payscale,location,job_type,company_type,date_posted,parent_source,active
['Clinical Nurse Specialist – Breast Care - Part Time'],['GenesisCare logo'],[],Best In Industry,"['Portsmouth', 'England', 'United Kingdom']",['Part-time'],,Yesterday,['http://genesiscare.recruiterbox.com/jobs/fk03oyz?apply=true'],True
job_title,company_name,description,payscale,location,job_type,company_type,date_posted,parent_source,active
['Senior Therapy Radiographer - Full Time'],['GenesisCare logo'],"['We achieve more together than apart, so we share, listen, and work as one. Designing better care will only be possible if we work together, with each other inside GenesisCare and with people and our partners from outside, who want the same things we do and who want be part of our purpose.']",Best In Industry,"['Oxford', 'England', 'United Kingdom']",['Full-time'],,Yesterday,['http://genesiscare.recruiterbox.com/jobs/fk03oyr?apply=true'],True
job_title,company_name,description,payscale,location,job_type,company_type,date_posted,parent_source,active
['Clinical Trials Coordinator'],['GenesisCare logo'],['\xa0'],Best In Industry,"['Oxford', 'England', 'United Kingdom']",['Full-time'],,Yesterday,['http://genesiscare.recruiterbox.com/jobs/fk03tit?apply=true'],True
job_title,company_name,description,payscale,location,job_type,company_type,date_posted,parent_source,active
"['Senior Chemotherapy/Research Nurse - Full time, permanent ']",['GenesisCare logo'],[],Best In Industry,"['Oxford', 'England', 'United Kingdom']",['Full-time'],,Yesterday,['http://genesiscare.recruiterbox.com/jobs/fk03co4?apply=true'],True
job_title,company_name,description,payscale,location,job_type,company_type,date_posted,parent_source,active
['Medical Secretary - 12 month fixed term contract'],['GenesisCare logo'],[],Best In Industry,"['Oxford', 'England', 'United Kingdom']",['Full-time'],,Yesterday,['http://genesiscare.recruiterbox.com/jobs/fk03co9?apply=true'],True
job_title,company_name,description,payscale,location,job_type,company_type,date_posted,parent_source,active
